,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
418,Omari Spellman,PF,22,GSW,19,0,352,53,124,.427,15,40,.375,38,84,.452,.488,30,37,.811,44,64,108,20,14,14,25,25,151
419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
420,Max Strus,SG,23,CHI,2,0,6,2,3,.667,0,1,.000,2,2,1.000,.667,1,1,1.000,1,0,1,0,0,0,0,1,5
421,Edmond Sumner,PG,24,IND,3,2,67,9,18,.500,0,3,.000,9,15,.600,.500,3,5,.600,1,2,3,6,5,1,1,9,21
422,Caleb Swanigan,PF,22,SAC,4,0,11,1,2,.500,0,0,,1,2,.500,.500,1,2,.500,1,3,4,0,1,2,3,3,3
423,Jayson Tatum,PF,21,BOS,18,18,619,135,330,.409,40,112,.357,95,218,.436,.470,60,73,.822,26,103,129,45,26,10,40,41,370
424,Jeff Teague,PG,31,MIN,14,11,408,54,131,.412,9,36,.250,45,95,.474,.447,56,67,.836,7,30,37,106,14,5,29,31,173
425,Garrett Temple,SG,33,BRK,19,10,503,61,148,.412,39,108,.361,22,40,.550,.544,18,24,.750,8,48,56,38,20,12,17,37,179
426,Daniel Theis,C,27,BOS,15,14,329,40,84,.476,2,13,.154,38,71,.535,.488,19,27,.704,27,80,107,18,8,23,11,48,101
427,Isaiah Thomas,PG,30,WAS,15,12,365,69,159,.434,29,72,.403,40,87,.460,.525,11,13,.846,1,21,22,75,7,3,32,32,178
428,Khyri Thomas,SG,23,DET,2,0,6,0,0,,0,0,,0,0,,,1,2,.500,0,0,0,0,0,0,0,0,1
429,Matt Thomas,SG,25,TOR,12,0,136,20,37,.541,14,26,.538,6,11,.545,.730,3,5,.600,1,12,13,4,4,0,4,12,57
430,Tristan Thompson,C,28,CLE,18,18,567,107,207,.517,3,7,.429,104,200,.520,.524,37,60,.617,74,113,187,42,15,22,28,45,254
431,Matisse Thybulle,SG,22,PHI,19,3,287,25,64,.391,13,34,.382,12,30,.400,.492,12,17,.706,4,16,20,18,26,13,20,46,75
432,Anthony Tolliver,PF,34,POR,15,7,267,17,58,.293,13,46,.283,4,12,.333,.405,9,11,.818,9,41,50,11,3,6,10,20,56
433,Karl-Anthony Towns,C,24,MIN,16,16,527,142,277,.513,63,142,.444,79,135,.585,.626,73,92,.793,41,160,201,65,17,24,54,54,420
434,Gary Trent,SG,21,POR,11,1,93,15,33,.455,11,23,.478,4,10,.400,.621,0,0,,3,9,12,5,2,2,2,7,41
435,Allonzo Trier,PG,24,NYK,9,1,124,19,38,.500,10,22,.455,9,16,.563,.632,19,24,.792,1,13,14,13,2,3,15,20,67
436,P.J. Tucker,PF,34,HOU,19,19,659,67,125,.536,36,78,.462,31,47,.660,.680,15,18,.833,28,88,116,27,27,9,18,60,185
437,Evan Turner,PG,31,ATL,12,0,154,19,49,.388,0,4,.000,19,45,.422,.388,10,12,.833,5,20,25,23,7,6,17,15,48
438,Myles Turner,C,23,IND,11,11,342,48,107,.449,19,45,.422,29,62,.468,.537,14,21,.667,16,50,66,11,6,27,19,28,129
439,Jonas Valančiūnas,C,27,MEM,18,18,444,103,186,.554,10,30,.333,93,156,.596,.581,28,33,.848,47,130,177,34,5,16,39,47,244
440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
